1272, 1315.389648, -898.885803, 39.578125, 352.437835, 52, 2 ; // 24/7 LS (damo)
1272, 1297.81360, -1272.290500, 13.546900, 4.333800, 137, 2 ; // Loja de acessórios (dimmy)
1272, 1199.693847, -919.824829, 43.107589, 359.216644, 47, 2 ; // burger shot LS (damo)
1272, 927.423706, -1352.795166, 13.376624, 264.936157, 130, 2 ; // Cluckin Bell South LS Beach (Kye)
1272, 2421.620361, -1509.163085, 23.992208, 88.295097, 130, 2 ; // Cluckin Bell South LS Grove (Kye)
1272, 2309.676757, -1644.051757, 14.827047, 333.614624, 139, 2 ; // Ten Green Bottles Bar LS (Kye)
1272, 2421.507324, -1219.351928, 25.554723, 0.673891, 40, 2 ; // pig pen strip club edit interior pos ( damo )
1272, 1835.677490, -1682.488403, 13.379734, 274.638153, 64, 2 ; // Alahambra (Kye)
1272, 1412.650300, -1700.466600, 13.539500, 48.6386, 146, 2 ; // Driving school (dimmy)
1272, 2020.498535, 1007.743408, 10.820312, 91.738945, 41, 2 ; // Four dragons LV (Kye)
1272, 2195.840087, 1677.150512, 12.367187, 270.124633, 48, 2 ; // Caligula's Casino LV (Kye)
1272, 2083.363037, 2223.861572, 11.023437, 4.465465, 22, 2 ; // LV Pizza (Damian)
1272, 1872.878784, 2071.857666, 11.062500, 54.375713, 47, 2 ; // Burgershot LV (Kye)
1272, 1126.284400, -1370.18620, 13.984400, 0.675700, 147, 2 ; // Farmácia (dimmy)
1272, 1582.183100, -1169.91090, 24.078100, 183.7451, 147, 2 ; // Farmacia2 (dimmy)
1272, 2081.234400, -1205.17810, 23.933400, 268.7167, 147, 2 ; // farmacia3 (dimmy)
1272, 951.313000, -1278.450000, 15.111500, 270.4691, 147, 2 ; // farmacia4 (dimmy)
1272, 2131.79350, -1150.88540, 24.108000, 185.72110, 148, 2 ; // Revendedora & Seguradora (dimmy)
1272, 1081.2336, -1696.7847, 13.5469, 214.219900, 148, 2 ; // Revendedora & Seguradora (dimmy)
1272, -1784.9319, 575.864200, 35.164100, 301.77990, 148, 2 ; // Revendedora & Seguradora (dimmy)
1254, 1607.60360, -1560.16580, 14.178900, 191.9844, 149, 2 ; // Mercado negro (dimmy)
1274, 1398.70560, -1881.44900, 13.546900, 179.80290, 4, 2 ; // Lotérica (dimmy)
1274, 1015.42790, -1537.26140, 13.525500, 90.579300, 4, 2 ; // Lotérica (dimmy)
1272, 2507.153076, 2121.128173, 10.840013, 170.379791, 40, 2 ; // Strip club central LV (Kye)
1272, 2637.511718, 1671.698120, 11.023437, 272.170532, 130, 2 ; // Cluckin Bell East LV (kye)
